SLDT
MOVQ2DQ
MOVSB
MOVSD
MOVSHDUP
MOVSLDUP
MOVSS
MOVSW
MOVSXD
MOVUPD
MOVUPS
MPSADBW
MUL
MULPD
MULPS
MULSD
MULSS
MULX
MWAIT
NEG
NOP
NOT
OR
ORPD
ORPS
OUT
OUTS
PABSB
PABSD
PABSW
PACKSSDW
PACKSSWB
PACKUSDW
PACKUSWB
PADDB
PADDD
PADDQ
PADDSB
PADDSIW
PADDSW
PADDUSB
PADDUSW
PADDW
PALIGNR
PAND
PANDN
PAUSE
PAVEB
PAVGB
PAVGUSB
PAVGW
PBLENDVB
PBLENDW
PCMPEQB
PCMPEQD
PCMPEQQ
PCMPEQW
PCMPESTRI
PCMPESTRM
PCMPGTB
PCMPGTD
PCMPGTQ
PCMPGTW
PCMPISTRI
PCMPISTRM
PDEP
PDISTIB
PEXT
PEXTRB
PEXTRD
PEXTRQ
PEXTRW
PF2ID
PF2IW
PFACC
PFADD
PFCMPEQ
PFCMPGE
PFCMPGT
PFMAX
PFMIN
PFMUL
PFNACC
PFPNACC
PFRCP
PFRCPIT1
PFRCPIT2
PFRCPV
PFRSQIT1
PFRSQRT
PFRSQRTV
PFSUB
PFSUBR
PHADDD
PHADDSW
PHADDW
PHMINPOSUW
PHSUBD
PHSUBSW
PHSUBW
PI2FD
PI2FW
PINSRB
PINSRD
PINSRQ
PINSRW
PMACHRIW
PMADDUBSW
PMADDWD
PMAGW
PMAXSB
PMAXSD
PMAXSW
PMAXUB
PMAXUD
PMAXUW
PMINSB
PMINSD
PMINSW
PMINUB
PMINUD
PMINUW
PMOVMSKB
PMOVSXBD
PMOVSXBQ
PMOVSXBW
PMOVSXDQ
PMOVSXWD
PMOVSXWQ
PMOVZXBD
PMOVZXBQ
PMOVZXBW
PMOVZXDQ
PMOVZXWD
PMOVZXWQ
PMULDQ
PMULHRIW
PMULHRSW
PMULHRW
PMULHUW
PMULHW
PMULLD
PMULLW
PMULUDQ
PMULUDQ
PMVGEZB
PMVLZB
PMVNZB
PMVZB
POP
POPA
POPCNT
POPF
POPFQ
POR
PREFETCH
PREFETCHNTA
PREFETCHT0
PREFETCHT1
PREFETCHT2
PREFETCHW
PSADBW
PSHUFB
PSHUFD
PSHUFHW
PSHUFLW
PSHUFW
PSIGNB
PSIGND
PSIGNW
PSLLD
PSLLDQ
PSLLQ
PSLLW
PSRAD
PSRAW
PSRLD
PSRLDQ
PSRLQ
PSRLW
PSUBB
PSUBD
PSUBQ
PSUBSB
PSUBSIW
PSUBSW
PSUBUSB
PSUBUSW
PSUBW
PSWAPD
PTEST
PUNPCKHBW
PUNPCKHDQ
PUNPCKHQDQ
PUNPCKHWD
PUNPCKLBW
PUNPCKLDQ
PUNPCKLQDQ
PUNPCKLWD
PUSH
PUSHA
PUSHF
PUSHFQ
PXOR
RCL
RCPPS
RCPSS
RCR
RDMSR
RDPMC
RDTSC
RDTSCP
REPxx
RET
RETF
RETN
ROL
ROR
RORX
ROUNDPD
ROUNDPS
ROUNDSD
ROUNDSS
RSM
RSQRTPS
RSQRTSS
SAHF
SAL
SALC
SAR
SARX
SBB
SCASB
SCASQ
SCASW
SFENCE
SGDT
SHA1MSG1
SHA1MSG2
SHA1NEXTE
SHA1RNDS4
SHA256MSG1
SHA256MSG2
SHA256RNDS2
SHL
SHLX
SHR
SHRX
SHUFPD
SHUFPS
SIDT
SKINIT
SMSW
SQRTPD
SQRTPS
SQRTSD
SQRTSS
STC
STD
STGI
STI
STMXCSR
STOSB
STOSQ
STOSW
STR
SUB
SUBPD
SUBPS
SUBSD
SUBSS
SWAPGS
SYSCALL
SYSENTER
SYSEXIT
SYSRET
T1MSKC
TEST
TZCNT
TZMSK
UCOMISD
UCOMISS
UD1
UD2
UNPCKHPD
UNPCKHPS
UNPCKLPD
UNPCKLPS
VERR
VERW
VFMADDPD
VFMADDPS
VFMADDSD
VFMADDSS
VFMADDSUBPD
VFMADDSUBPS
VFMSUBADDPD
VFMSUBADDPS
VFMSUBPD
VFMSUBPS
VFMSUBSD
VFMSUBSS
VFNMADDPD
VFNMADDPS
VFNMADDSD
VFNMADDSS
VFNMSUBPD
VFNMSUBPS
VFNMSUBSD
VFNMSUBSS
VMCALL
VMCLEAR
VMLAUNCH
VMLOAD
VMMCALL
VMPTRLD
VMPTRST
VMREAD
VMRESUME
VMRUN
VMSAVE
VMWRITE
VMXOFF
VMXON
WAIT
WBINVD
WRMSR
XADD
XCHG
XLAT
XOR
XORPD
XORPS
